stop_lat,stop_code,stop_lon,stop_id,stop_name,location_type,zone_id
45.3787773913,76008,-73.5594501075,DEL47B,montée des Bouleaux / rue Circé,0,5
45.4006712233,76261,-73.5378093361,DEL14B,rue Principale / boul. Marie-Victorin,0,5
45.389580861,76273,-73.5664726704,SCA117D,rue des Outardes / rue des Carouges,0,5
45.4982652034,76142,-73.5661781803,MTL1C,Terminus Centre-Ville,0,1
45.3787773913,76146,-73.5594501075,DEL47D,montée des Bouleaux / rue Circé,0,5
45.3692707228,76236,-73.5668829325,SCS180B,rue Bourdeau / rue Beaumont,0,5
45.3665291614,76158,-73.5415524773,DEL57C,rue Principale / face à la gare Delson,0,5
45.5479914358,76077,-73.4954536041,LON40D,boul. Roland-Therrien / rue d'Auteuil,0,3
45.4215643689,76421,-73.6350137736,LSL74B,rue Airlie / 80e avenue,0,1
45.3931985531,76075,-73.5801043589,SCA107C,rue Centrale / route 132,0,5
45.3943358141,76063,-73.5597984901,SCA27B,boul. St-Laurent / rue des Faucons,0,5
45.3732488195,76168,-73.5475197035,DEL19C,rue de Collège / avenue de Delson,0,5
45.3974294545,76073,-73.5778495698,SCA15B,rue St-Jean / rue Centrale,0,5
45.3927340269,76344,-73.5390939785,DEL11A,rue Principale / rue Bellefleur,0,5
45.3919693896,76308,-73.5747258361,SCA90C,rue des Merisiers / rue des Ormes,0,5
45.3927340269,76412,-73.5390939785,DEL11C,rue Principale / rue Bellefleur,0,5
45.3748350193,76246,-73.5412393694,DEL4A,rue Principale / 1re avenue,0,5
45.3723358291,76213,-73.5725040447,SCS126B,rue de la Mairie / 2e avenue,0,5
45.3905066015,76067,-73.5683638835,SCA28A,rue Brébeuf / rue des Ormes,0,5
45.369516574,76018,-73.5766112268,SCS147A,rue Pierre-Dupuis / rue Baillargeon,0,5
45.369516574,76130,-73.5766112268,SCS147C,rue Pierre-Dupuis / rue Baillargeon,0,5
45.3769843679,76438,-73.6011232758,SCS219B,rue Riopelle / rue Sainte-Catherine,0,5
45.3905066015,76311,-73.5683638835,SCA28D,rue des Ormes / rue Brébeuf,0,5
45.3828416863,76198,-73.5793363365,SCS190D,ch. Ste-Catherine / rue Laplante,0,5
45.383485593,76026,-73.584891993,SCS114A,rue Monchamp / rue Veillette,0,5
45.3717611951,76239,-73.5704606041,SCS54B,rue Bellerive / rue St-Pierre,0,5
45.3717611951,76011,-73.5704606041,SCS54C,rue St-Pierre / rue de la Mairie,0,5
45.3741186558,76022,-73.5840353262,SCS138B,rue de la Mairie / rue Monchamp,0,5
45.3741186558,76126,-73.5840353262,SCS138C,rue de la Mairie / rue Monchamp,0,5
45.3828416863,76298,-73.5793363365,SCS190B,ch. Ste-Catherine / rue Laplante,0,5
45.3990037781,76051,-73.564056839,SCA12C,rue Brébeuf / avenue du Portage,0,5
45.3993135762,76408,-73.572666271,SCA45D,boul. St-Laurent / rue Bédard,0,5
45.3776230762,76004,-73.5452506215,DEL6B,montée des Bouleaux / rue de Collège,0,5
45.3933873479,76016,-73.5484306026,SCA20A,rue Jogues / boul. St-Laurent,0,5
45.5480994089,76138,-73.4952743005,LON7B,boul. Roland-Therrien / rue d'Auteuil,0,3
45.3760300132,76220,-73.5460154235,DEL68A,1re avenue / rue de Collège,0,5
45.3933873479,76042,-73.5484306026,SCA20D,boul. St-Laurent / rue Jogues,0,5
45.3760300132,76210,-73.5460154235,DEL68B,1re avenue / rue de Collège,0,5
45.4465404809,76149,-73.6043155847,MTL5C,Terminus Angrignon,0,1
45.3741186558,76437,-73.5840353262,SCS138A,rue Monchamp / rue de la Mairie,0,5
45.4232705923,76281,-73.6221370922,LSL28C,boul. de la Vérendrye / av. Dollard,0,1
45.3651765444,76225,-73.5805115913,SCS26C,rue de l'Église / rue des Pins,0,5
45.3717611951,76135,-73.5704606041,SCS54A,rue St-Pierre / rue Bellerive,0,5
45.3937844216,76270,-73.5643574673,SCA114C,rue des Éperviers / rue des Alouettes,0,5
45.3643721009,76230,-73.5723917493,SCS30D,rue de l'Église / rue des Saules,0,5
45.3925884077,76143,-73.5898354589,SCS2C,rue Maçon / rue Magdeleine,0,5
45.3796583707,76278,-73.5410002705,DEL24A,rue Principale / rue Delvista,0,5
45.3986857816,76119,-73.5262229217,CAN1B,CLSC Kateri,0,5
45.3766398735,76170,-73.550842227,DEL60A,boul. Georges-Gagné / rue Carignan,0,5
45.3766398735,76216,-73.550842227,DEL60C,boul. Georges-Gagné / rue Carignan,0,5
45.3750901771,76436,-73.6060609859,SCS213C,rue Rembrandt / montée St-Régis,0,5
45.3908173548,76262,-73.5390032587,DEL10C,rue Principale / boul. St-Laurent,0,5
45.3908173548,76253,-73.5390032587,DEL10A,rue Principale / boul. St-Laurent,0,5
45.3846677297,76080,-73.5483465378,DEL9C_merged_102030407,Stationnement Incitatif Georges-Gagné,0,5
45.3858991933,76191,-73.5938729839,SCS101D,ch. Ste-Catherine / crois. Ste-Catherine,0,5
45.3916023373,76185,-73.5556449086,SCA29C,boul. des Écluses / rue Colomb,0,5
45.374193237,76021,-73.5804350122,SCS139B,rue de la Mairie / ch. Petit-St-Régis sud,0,5
45.4057207046,76047,-73.5724573175,SCA74D,boul. Marie-Victorin / rue Union,0,5
45.4035043304,76050,-73.5617753677,SCA11D,boul. Marie-Victorin / rue Brébeuf,0,5
45.3654583644,76163,-73.5414368039,DEL1D,rue des Roitelets / rue Principale,0,5
45.3952717715,76345,-73.5386870176,DEL12A,rue Principale / rue Corriveau,0,5
45.3786827876,76195,-73.5503333189,DEL7C,boul. Georges-Gagné / montée des Bouleaux,0,5
45.3786827876,76005,-73.5503333189,DEL7B,montée des Bouleaux / boul. Georges-Gagné,0,5
45.3786827876,76171,-73.5503333189,DEL7A,boul. Georges-Gagné / montée des Bouleaux,0,5
45.3848787777,76116,-73.5588307788,SCS57A,rue St-Pierre / rue Lachapelle,0,5
45.3786827876,76423,-73.5503333189,DEL7F,boul. Georges-Gagné / montée des Bouleaux,0,5
45.3786827876,76148,-73.5503333189,DEL7D,montée des Bouleaux / boul. Georges-Gagné,0,5
45.3704898456,76434,-73.5871833096,SCS211B,montée St-Régis / rue du Génévrier,0,5
45.374193237,76127,-73.5804350122,SCS139D,rue de la Mairie / ch. Petit-St-Régis sud,0,5
45.3786827876,76420,-73.5503333189,DEL7H,boul. Georges-Gagné / montée des Bouleaux,0,5
45.3712206361,76201,-73.5846566073,SCS186C,rue Monchamp / rue de l'Alisier,0,5
45.3664646066,76160,-73.5456502273,DEL61D,rue des Roitelets / rue des Érables,0,5
45.3712206361,76428,-73.5846566073,SCS186A,rue Monchamp / rue de l'Alisier,0,5
45.3919495255,76275,-73.5628866669,SCA123A,rue des Orioles / rue des Harfangs,0,5
45.396510522,76176,-73.546849482,SCA19A,rue Jogues / rue du Blizzard,0,5
45.5252505126,76066,-73.5219803267,LON1A,Terminus Longueuil,0,3
45.396510522,76061,-73.546849482,SCA19C,rue Jogues / rue du Blizzard,0,5
45.3872759486,76014,-73.5515030517,SCA21A,rue Jogues / rue Talon,0,5
45.3728653499,76214,-73.5746751391,SCS44B,rue de la Mairie / 4e avenue,0,5
45.3906533735,76274,-73.5635237878,SCA122A,rue des Orioles / rue des Hérons,0,5
45.4550414057,76266,-73.4651717719,BRO78A,boul. Taschereau / boul. Rome,0,3
45.3924972386,76271,-73.5650329002,SCA115C,rue des Éperviers / rue des Harfangs,0,5
45.3732488195,76219,-73.5475197035,DEL19D,avenue de Delson / rue de Collège,0,5
45.3822675204,76297,-73.5767816775,SCS103B,ch. Ste-Catherine / ch. Petit-St-Régis nord,0,5
45.3640614815,76226,-73.5794122038,SCS89C,rue des Pins / rue du Parc,0,5
45.3748037347,76218,-73.5517726164,DEL20C,boul. Georges-Gagné / avenue de Delson,0,5
45.3748037347,76169,-73.5517726164,DEL20B,avenue de Delson / boul. Georges-Gagné,0,5
45.3966487005,76072,-73.5746681407,SCA86C,rue St-Jean / rue de l'École,0,5
